Title,Study,Decision-Making Time,Expertise Level of User,QA Score,Industry,Subcategory,AI Type - Intervention,Comparison,Was explainability/interpretability considered?,XAI Type,Decision Making - (Intervention),Deployed?,Data Type,Output Feature,Safety Outcome,Was regulation considered?,Regulatory Oversight Body (if any),Key Findings,Feature Study?,Full Text Review Notes,Analysis Notes,DOI,Published Year,Country
A deep learning analysis of stroke onset time prediction and comparison to DWI-FLAIR mismatch,Akay 2023,Minutes-Hours,Expert,95.24,Medical,"Imaging, Stroke",CNN,"Human Evaluation, Other Deep Learning",Yes,SmoothGrad,Augmented Human Decision-Making,No,Clinical - Imaging,Dichotomized time from symptom onset to MRI (< or > 4.5 hours),Thrombolysis Eligibility,No,Non-Applicable,"“While an experienced stroke physician can usually distinguish acute from pre-existing lesions, junior raters might rate these patients as indeterminable, excluding patients from IVT treatment”
”Another necessity for clinical implementation is users understanding how CDSSs reach their decisions”
”…while these results are promising as a proof of concept, the model needs to be externally validated in future projects to ensure robustness of the methods provided”",No,"Nataly Panczyk (2026-01-26 01:54:44)(Select): Includes XAI analysis
Compares stroke imaging classification against junior and senior human raters;","used post-hoc explainability to determine that “the model localized stroke lesions to derive predictions”
-found that the model always provides comparable rating to human and really stood out in cases that were indistinguishable to a human, to improve sensitivity
-thrombolysis is under-used in stroke patients, so we see a variety of studies trying to improve identification of eligible patients",10.1016/j.nicl.2023.103544,2023,Germany
Decision tree-based machine learning algorithm for prediction of acute radiation esophagitis,Alizade-Harakiyan 2025,Days or More,Expert,80.95,Medical,Radiation Treatment,Decision Tree,Human Evaluation,Yes,Feature Importance,Augmented Human Decision-Making,No,"Clinical - Dosimetric, Clinical - Physiological, Demographic",Binary classification of acute esophagitis,Chemoradiotherapy eligibility,No,Non-Applicable,"”Future studies should explore integrating decision-support tools that translate these predictions into actionable recommendations for clinicians.”
”In clinical practice, interpretability is not merely a desirable feature—it is a necessity. Healthcare professionals must understand the reasoning behind predictions to trust and incorporate them into patient care. Decision trees excel in this area by offering clear, actionable rules that describe relationships between variables,”",No,Nataly Panczyk (2026-01-24 03:04:17)(Select): Highlights interpretability with decision trees;,"-goal: create a DT model that helps clinicians determine whether a patient undergoing chemoradiotherapy has radiation-induced esophagitis and using that information to determine if they can continue treatment
-limitation: very small dataset, only 100 patients
-future work should consider time-series analysis (longitudinal study)",10.1016/j.bbrep.2025.101991,2025,Iran
Use of clinical pathway simulation and machine learning to identify key levers for maximizing the benefit of intravenous thrombolysis in acute stroke,Allen 2022,Minutes-Hours,Expert,95.24,Medical,"Stroke, Treatment Plan","FNN, Logistic Regression, Random Forest",Human Evaluation,Yes,Rationale for Certain Models,Static ML-Informed Benchmark,No,"Clinical - Condition Onset Details, Clinical - Physiological, Demographic","Binary, stroke patient to receive thrombolysis. Does NOT predict thrombolysis outcome.",Thrombolysis Eligibility,No,Non-Applicable,"“Despite this, these machine learning techniques could not purport to replace clinical judgment in the decision about treating any individual patient and could not be used to provide a definitive predictive model.”

”So the outputs from the machine learning can only ever be used probabilistically and to look for general patterns in thrombolysis use that may be used as a stimulus to scrutinize decision-making in audits at a local level.”

”One of our principal objectives was to develop, through the combination of pathway modeling and machine learning, bespoke outputs for individual hospitals that could be incorporated into routine reporting through national audit, moving away from a single identical target for thrombolysis use for all hospitals.”

”Clinicians wanted to see the machine learning models expanded to predict probability of good outcome and adverse effects of thrombolysis. Despite this being a small study, physicians engaged with the machine learning process and outcomes, suggesting ways in which the outputs could be modified for feedback to hospitals and utilized to inform thrombolytic decision-making”",No,"Nataly Panczyk (2026-01-24 03:48:15)(Select): Data limited but considers human factors to implementation
Treatment for lifef-threatening condition, significant threat to human life;","Data from: NHS Sentinel Stroke National Audit Programme (SSNAP)
- a qualitative study was also performed to determine clinician attitudes towards thrombolysis and to understand clinician attitudes towards using ML for improving stroke management",10.1161/STROKEAHA.121.038454,2022,"United Kingdom, Wales"
Trust but verify: Lessons learned for the application of AI to case-based clinical decision-making from postmarketing drug safety assessment at the US food and drug administration,Ball 2024,Days or More,Expert,100,Medical,Regulatory,Natural Language Processing,Human Evaluation,Yes,Feature Importance,Human in the Loop,Yes,Incident Reports,Identifying duplicates and causality assessment,Incident Reporting,Yes,FDA,"”we apply the Diffusion of Innovations theory to the FDA’s experience to illuminate the sociotechnical reasons for FDA safety reviewers’ acceptance of one AI algorithm (ie, the process of deduplication) but not another (ie, assignment of causal relationships)”
”Continuous communication between these stakeholders is needed to understand pharmacovigilance problems and uncover challenges as experienced by safety reviewers, the selection of use cases for AI, the development of required functionalities to support the use case, and appropriate insertion of AI in the pharmacovigilance workflow.”
”Safety reviewers need to have confidence that AI developers sufficiently understand the complexity of the pharmacovigilance problem to propose whether and which AI methods can be optimally applied to address the specific problem.”
-reproducibility (i.e., NOT chatbot stochasticity) should be guaranteed",Yes,,"The FDA used natural language processing to analyze Individual Safety Case Reports (ISCRs) and then reports their findings and “lessons learned” as general AI safety/implementation advice for CDSS
-They tried to use NLP for deduplication and causality assessment, and found that it was only trustworthy enough for deduplication
-Major focus on “trust-building efforts” and how even feature importance can play a big role
-Also highlights uncertainty
-How well do the domain users understand the AI and how well do the AI developers understand the domain? This is critical for deployment.",10.2196/50274,2024,United States
Optimised machine learning classification model to detect void formations in friction stir welding,Baruah 2023,Days or More,Expert,95.24,Manufacturing,Welding,"Decision Tree, Gradient Boosting",Neural Networks,Yes,Feature Importance,Static ML-Informed Benchmark,No,Mechanical Measurements,Binary classification for the presence of void formations,Strength of Weld Joint,No,Non-Applicable,This is an older paper but a good example of a mechanical benchmark where ML is used to informed some decision-making parameters.,No,"Nataly Panczyk (2026-01-26 03:28:25)(Select): Uses a decision tree & XGBoost model to predict joint failure using a specific kind of welding technique
Feature analysis shows rotation speed to be most important factor
Compares w/ a neural network, XGBoost yields best performance;","This might have been on the verge of exclusion because it’s a bit dated, but it does use some inherently explainable modeling techniques, which is good. ",10.1016/j.matpr.2023.03.386,2023,India
Event-related potentials reveal incongruent behavior of autonomous vehicles in the moral machine dilemma,Bertheau 2025,Seconds or Less,General Public,95.24,Autonomous Vehicles,Ethics,AV Built-In,Other Studies,No,Non-Applicable,Autonomous,No,Clinical - Physiological,Agreement with AV Decision-Making,Sparing lives,No,Non-Applicable,"“In the Technology Acceptance Model (TAM), easy to use means that the technology is clear and understandable, not requiring a lot of mental effort, and being perceived as easy to operate. If the new technology meets both criteria, useful and easy to use, potential users can form an attitude towards using it.”
”Therefore, it might be advisable to take individual preferences into account and, where possible, adapt or explain the AV’s behavior.”
”In the present study, we investigated static image dilemma vignettes, which are especially suited for ERP analysis. However, the dilemma vignettes could be considered as extreme and unlikely situations. To bring our findings closer to real-world traffic applications, it would be beneficial— though challenging—to investigate the effects of AI decisions in a more ecologically valid setting, such as with dynamic stimulus material.”
”present findings could potentially be used to enable real-time evaluation of situations by AI based on physiological parameters while driving”",No,"Nataly Panczyk (2026-01-27 02:43:21)(Select): Study detected brain activity using EEG while showing participants various traffic dilemmas, asking them to make a decision of who to spare, and then compare their decision to an autonomous vehicle’s decision. Participants were not aware that the vehicle was operated by AI. However, the study highlights a way we can unobtrusively analyze automatic human feedback of AI decision-making. ;","-the main goal here is to see how humans respond to decision-making made by AI in AVs, I feel like a study like this should probably be performed for most AI implementations ",10.1038/s41598-025-99531-6,2025,Germany
Prediction of cervical spine injury in young pediatric patients: an optimal trees artificial intelligence approach,Bertsimas 2019,Minutes-Hours,Expert,95.24,Medical,Diagnostics,"Decision Tree, Gradient Boosting","Logistic Regression, Other Studies",Yes,Rationale for Certain Models,Augmented Human Decision-Making,No,"Clinical - Condition Onset Details, Clinical - Physiological, Demographic",Binary; presence of cervical spine injury,Diagnostic,No,Non-Applicable,"“The key metrics of interest are sensitivity and specificity, which are indicative of the rates of missed injuries and missed noninjuries, respectively. The highest priority is achieving high sensitivity, but it is also important to maintain reasonable specificity to avoid unnecessary imaging.”
”he simplicity of the model suggests that patient outcomes can be predicted with high accuracy using only basic exam findings, even before considering the more granular information that might be available to a clinician. The high interpretability of the clinical decision rule makes it a viable tool for realtime use in trauma settings.”",No,Nataly Panczyk (2026-01-27 03:00:28)(Select): Completely interpretable method of predicting cervical spine injuries with decision trees to reduce CT scan requirements (minimize radiation exposure);,"Goal is to avoid unnecessary CT scans on children (excessive radiation)
Actual model is Optimal Classification Trees (not just decision trees)
",10.1016/j.jpedsurg.2019.03.007,2019,United States
Dosimetric planning tradeoffs to reduce heart dose using machine learning-guided decision support software in patients with lung cancer,Bitterman 2022,Days or More,Expert,95.24,Medical,Radiation Treatment,Decision Tree,Human Evaluation,No,Non-Applicable,Augmented Human Decision-Making,Yes,"Clinical - Dosimetric, Clinical - Physiological",Classification; finding a match with a patient in a historical database to evaluate dosimetric outcome,Safe Radiation Dose,No,Non-Applicable,"“Using the machine learning-based clinical decision support system, 40% of RT plans were predicted to have feasible reductions in MHD of more than 4 Gy without violating lung dose or esophageal dose constraints, suggesting treatment planning optimization might be achievable with modern techniques and/or improved dosimetry insight.”",No,Nataly Panczyk (2026-01-27 03:22:55)(Select): The general vibe of this paper was “let’s assess which patients are at higher risk and we should pay more attention to their treatment plan for” but that makes a decent case for using AI to help level the treatment playing field;,"Goal: reduce dose to the heart in patients receiving RT for lung cancer
Proton therapy was not considered in the study",10.1016/j.ijrobp.2021.11.009,2022,United States
Machine learning-generated decision boundaries for prediction and exploration of patient-specific quality assurance failures in stereotactic radiosurgery plans,Braun 2022,Days or More,Expert,90.48,Medical,Radiation Treatment,"Random Forest, Support Vector Machines",Human Evaluation,Yes,Rationale for Certain Models,Augmented Human Decision-Making,Yes,"Mechanical Measurements, Mechanical Sensor",Binary; QA pass or fail (did the test radiation match the clinical dose requirements),Dosimetric Accuracy,No,Non-Applicable,"“The clinical use of this type of model demonstrated that an improvement to the effectiveness of the QA process is possible with the detection of the single failing plan not initially identified by a physicist.” “The presentation of the models prediction for this plan was able to shift the physicists decision on whether an additional measurement was needed from “no” to “no, unless epids fail” and suggests work is needed to improve physicists confidence in the model”
”Being able to provide insight (via interpretable visualizations) into the cause of these failures may also improve planning workflow.”
”ML models often suffer from a “black-box” problem. This is where predictions are made without any readily accessible explanation, and a common approach to solve this problem is the use of “feature weights” to determine the inputs considered by the model to be most important for a prediction. Our study aimed to approach this problem in a different way by rapidly generating,testing, and visualizing lower-dimension models within the given solution space. Doing so provides further insight into a given prediction while still providing a simple but clinically meaningful pass/fail prediction”",No,"Nataly Panczyk (2026-01-27 08:18:01)(Select): Focuses on pre-operative quality assurance measurements (simulating the radiation treatment plan on a phantom), but highlights interpretability and describes a clinical implementation. Not a completely direct safety link (as in emergency medicine) but still pretty impactful and useful bc it focuses on radiation therapy at high doses (risky);","Random forest classifier was trained first to determine which features were important enough to keep, these are the “final feature combinations, which would produce visualized separable boundaries with the SVC”",10.1002/mp.15454,2022,Canada
Artificial intelligence to assist decision-making on pharmacotherapy: A feasibility study,Bücker 2024,Minutes-Hours,Expert,85.71,Medical,Pharmacology,Decision Tree,Human Evaluation,No,Non-Applicable,Augmented Human Decision-Making,No,"Clinical - Condition Onset Details, Clinical - Physiological","Binary classification; should a person receive or not receive a certain type of drug, based on their conditions. ",Medication Prescription,No,Non-Applicable,"“Decision trees were selected as the primary model due to their simplicity, transparency, and interpretability.”
”Pharmacotherapy is a highly delicate process, where errors can lead to significant and immediate repercussions. Additionally, complete patient information may not always be accessible in a digital form. Factors such as patients’ emotions, concerns, preferences, and expectations must be considered, yet translating these emotional aspects into quantifiable data poses challenges”
”Due to time constraints in consulting with healthcare professionals, patients may find it beneficial to interact with an avatar to discuss their medical condition without  feeling pressured”",No,"Nataly Panczyk (2026-01-27 08:23:07)(Select): Highlights need for interpretable models and human oversight
Discusses limitations of AI in pharmacology and expresses insufficient research in the area at date of publication;","It seems like this paper was a first attempt for using AI for this application. The modeling is pretty minimal and some of the choices were confusing (i.e., a different model for each drug instead of one model to predict which drugs should be used), but some of this could be due to limited data. Lots of commentary in this study.",10.1016/j.rcsop.2024.100491,2024,Germany
Evidence-based managerial decision-making with machine learning: The case of Bayesian inference in aviation incidents,Cankaya 2023,Days or More,Trained User,95.24,Aviation,Accidents,Bayesian Belief Networks,Other Studies,Yes,Rationale for Certain Models,Human in the Loop,No,"Demographic, Incident Reports",severity of accident?,Aircraft Accident,Yes,FAA,"“The aviation industry aims for zero mishaps and makes efforts to predict the incidents before they happen. Thus, understanding the root causes of the incidents is crucial”
”The primary data issues are; inconsistencies like different names for the aircraft manufacturer names airport names, and changes in these names over time because of mergers and acquisitions.”",No,"Nataly Panczyk (2026-01-27 08:13:41)(Select): Emphasizes interpretability in modeling likelihood of aircraft damage and determining most important features
Highlights safety
Directly compares this study to nuclear power plant safety analysis as low-probability & high-risk ;","Study focuses on the nuances of low-probability/high-consequence events, like NPP accidents or aviation accidents
Lots of words in this study, but big focus on “causal inference”",10.1016/j.omega.2023.102906,2023,United States
"If you worry about humanity, you should be more scared of humans than of AI",Cerf 2023,N/A,N/A,90.48,Ethics,Ethics,Generative AI,Non Applicable,No,Non-Applicable,Non Applicable,Non Applicable,Non Applicable,Non Applicable,Existential Threat to Humanity,Yes,Non-Applicable,"“Here, we offer a less cynical but still noteworthy concern, which is that these outsized warnings about technology’s existential threats serve as a red herring. Although the fears raised around AI’s capacity to spread misinformation, foster unemployment, and outpace human intelligence are well founded (and we strongly advocate for taking these risks seriously), we worry these public letters distract from human beings’ current proficiency at carrying out the threats attributed to technology.”
”Blaming technology lets people off the hook.”",Yes,"Nataly Panczyk (2026-01-27 10:20:02)(Select): This is absolutely more of a general commentary than a strict study, but it’s completely valuable in the context of AI-based decision making;","This is an excellent article that puts AI and AI-based decision-making in perspective. The status quo is not always safer, or better. ",10.1080/00963402.2023.2245242,2023,United States
